DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,uSNChanged,name,objectGUID,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,dc,cn,description,showInAdvancedViewOnly,ou,msDS-TombstoneQuotaFactor,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,ipsecName,ipsecID,ipsecDataType,ipsecData,ipsecISAKMPReference,ipsecNFAReference,ipsecOwnersReference,ipsecNegotiationPolicyReference,ipsecFilterReference,iPSECNegotiationPolicyType,iPSECNegotiationPolicyAction,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lockoutTime,lastLogonTimestamp,msDS-SupportedEncryptionTypes,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,operatingSystemServicePack,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,lastSetTime,priorSetTime,givenName,userPrincipalName,gPCUserExtensionNames
"DC=domain,DC=local",domainDNS,"DC=domain,DC=local",5,20200606025640.0Z,20210421042027.0Z,"DC=ForestDnsZones,DC=domain,DC=local;DC=DomainDnsZones,DC=domain,DC=local;CN=Configuration,DC=domain,DC=local",4099,X'0100000028000000000000000000000000000000000000005b9e535b1da8cf4ab75863bc3ef0322f',159782,domain,X'5975b569f1b2454a9cd5cae46fba3c39',132634524278437500,-9223372036854775808,-18000000000,-18000000000,0,-36288000000000,-864000000000,7,0,1000,1,24,X'010400000000000515000000702532136ccab54895e97395',1,1,1,X'0001',0,"CN=RID Manager$,CN=System,DC=domain,DC=local","CN=NTDS Settings,CN=DC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=domain,DC=local",-1946157056,"B:32:6227F0AF1FC2410D8E3BB10615BB5B0F:CN=NTDS Quotas,DC=domain,DC=local;B:32:F4BE92A4C777485E878E9421D53087DB:CN=Microsoft,CN=Program Data,DC=domain,DC=local;B:32:09460C08AE1E4A4EA0F64AEE7DAA1E5A:CN=Program Data,DC=domain,DC=local;B:32:22B70C67D56E4EFB91E9300FCA3DC1AA:CN=ForeignSecurityPrincipals,DC=domain,DC=local;B:32:18E2EA80684F11D2B9AA00C04F79F805:CN=Deleted Objects,DC=domain,DC=local;B:32:2FBAC1870ADE11D297C400C04FD8D5CD:CN=Infrastructure,DC=domain,DC=local;B:32:AB8153B7768811D1ADED00C04FD8D5CD:CN=LostAndFound,DC=domain,DC=local;B:32:AB1D30F3768811D1ADED00C04FD8D5CD:CN=System,DC=domain,DC=local;B:32:A361B2FFFFD211D1AA4B00C04FD7D83A:OU=Domain Controllers,DC=domain,DC=local;B:32:AA312825768811D1ADED00C04FD8D5CD:CN=Computers,DC=domain,DC=local;B:32:A9D1CA15768811D1ADED00C04FD8D5CD:CN=Users,DC=domain,DC=local","CN=Domain-DNS,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,"[LDAP://cn={1FB99044-9A66-4AD4-8D14-67826B036374},cn=policies,cn=system,DC=domain,DC=local\;2][LDAP://CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=domain,DC=local\;0]",16010101000000.0Z,"B:32:1EB93889E40C45DF9F0C64D23BBB6237:CN=Managed Service Accounts,DC=domain,DC=local","CN=NTDS Settings,CN=DC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=domain,DC=local",10,4,1,1000,10,"CN=NTDS Settings,CN=DC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=domain,DC=local","CN=NTDS Settings,CN=DC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=domain,DC=local",0,domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Users,DC=domain,DC=local",container,"CN=Users,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5696,,5696,Users,X'031fd75c8ee32a4caf48b6e1f951a4b4',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Users,Default container for upgraded user accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Computers,DC=domain,DC=local",container,"CN=Computers,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5697,,5697,Computers,X'51a8143416eb554aad8c13e759a5dddb',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,Computers,Default container for upgraded computer accounts,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OU=Domain Controllers,DC=domain,DC=local",organizationalUnit,"OU=Domain Controllers,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5828,,5828,Domain Controllers,X'8a9044adc196c940aa1c5bc402d60c35',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Organizational-Unit,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,"[LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=domain,DC=local\;0]",20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,,Default container for domain controllers,FALSE,Domain Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=System,DC=domain,DC=local",container,"CN=System,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5698,,5698,System,X'd77faeaf3eb9824b945d72fddb4790d4',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,System,Builtin system settings,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=LostAndFound,DC=domain,DC=local",lostAndFound,"CN=LostAndFound,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5694,,5694,LostAndFound,X'6d5ee5fef823dd4ebf4fd1b3b081dcf9',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Lost-And-Found,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,LostAndFound,Default container for orphaned objects,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Infrastructure,DC=domain,DC=local",infrastructureUpdate,"CN=Infrastructure,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5829,,5829,Infrastructure,X'63e820767a128449aaa57eb9eb46f5d6',,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=domain,DC=local",-1946157056,,"CN=Infrastructure-Update,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,Infrastructure,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=ForeignSecurityPrincipals,DC=domain,DC=local",container,"CN=ForeignSecurityPrincipals,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5830,,5830,ForeignSecurityPrincipals,X'a43a0bfd98c4f243ad380bf146f88def',,,,,,,,,,,,,,,,,,,,,-1946157056,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",TRUE,,20210421033523.0Z;16010101000001.0Z,,,,,,,,,,,,ForeignSecurityPrincipals,"Default container for security identifiers (SIDs) associated with objects from external, trusted domains",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Program Data,DC=domain,DC=local",container,"CN=Program Data,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5831,,5831,Program Data,X'753e9451cf721940b5c1cf9af0570896',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Program Data,Default location for storage of application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Microsoft,CN=Program Data,DC=domain,DC=local",container,"CN=Microsoft,CN=Program Data,DC=domain,DC=local",4,20200606025649.0Z,20200606025649.0Z,,5832,,5832,Microsoft,X'4f08d86268c8674089530627d19825c6',,,,,,,,,,,,,,,,,,,,,,,"CN=Container,CN=Schema,CN=Configuration,DC=domain,DC=local",,,20210421033524.0Z;16010101000001.0Z,,,,,,,,,,,,Microsoft,Default location for storage of Microsoft application data.,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
